,Assists,Deaths,GPM,Kills,Match Counter,Match ID,Match Length (s),Player ID,Player Slot,Win Y/N,XPM
316,4,5,353,0,1,651694287,1692,100599348,129,0,371
317,4,6,223,4,1,651694287,1692,4550302,130,0,310
318,2,4,215,3,1,651694287,1692,1049332,131,0,305
319,2,9,266,7,1,651694287,1692,30999748,132,0,337
320,21,6,531,11,1,651659246,2044,84584798,0,1,616
321,18,7,557,16,1,651659246,2044,111706273,1,1,791
322,13,4,534,8,1,651659246,2044,143096581,2,1,519
323,14,3,441,6,1,651659246,2044,79676351,3,1,590
324,24,7,376,5,1,651659246,2044,68025723,4,1,499
325,7,6,540,8,1,651659246,2044,46667982,128,0,578
326,7,9,336,5,1,651659246,2044,100599348,129,0,368
327,3,12,267,1,1,651659246,2044,4550302,130,0,456
328,13,8,245,3,1,651659246,2044,1049332,131,0,305
329,9,12,364,10,1,651659246,2044,30999748,132,0,422
330,13,3,466,4,1,602684891,2660,100425220,0,1,444
331,12,2,704,19,1,602684891,2660,44826520,1,1,601
332,11,3,523,6,1,602684891,2660,19242334,2,1,625
333,15,4,353,8,1,602684891,2660,4294967295,3,1,330
334,14,6,261,2,1,602684891,2660,159978181,4,1,273
335,3,10,334,6,1,602684891,2660,46667982,128,0,330
336,5,3,402,5,1,602684891,2660,100599348,129,0,485
337,2,11,154,1,1,602684891,2660,9685647,130,0,155
338,7,8,223,2,1,602684891,2660,4452629,131,0,227
339,2,8,277,3,1,602684891,2660,113623221,132,0,398
340,24,6,348,6,1,565988818,2758,4294967295,0,1,471
341,11,8,488,18,1,565988818,2758,124509227,1,1,699
342,20,8,368,9,1,565988818,2758,4294967295,2,1,368
343,25,7,556,16,1,565988818,2758,68465465,3,1,678
344,21,6,457,4,1,565988818,2758,84381727,4,1,571
345,16,10,328,2,1,565988818,2758,4294967295,128,0,376
346,10,11,201,2,1,565988818,2758,1049332,129,0,243
347,5,10,539,9,1,565988818,2758,46667982,130,0,712
348,13,8,411,13,1,565988818,2758,86740711,131,0,672
349,5,15,306,7,1,565988818,2758,100599348,132,0,359
350,10,9,252,4,1,557466069,2617,521112,0,0,321
351,5,4,528,8,1,557466069,2617,46667982,1,0,634
352,11,5,258,2,1,557466069,2617,100599348,2,0,349
353,5,9,486,4,1,557466069,2617,289729,3,0,548
354,1,3,449,7,1,557466069,2617,23203715,4,0,478
355,6,4,638,1,1,557466069,2617,4294967295,128,1,622
356,6,8,286,5,1,557466069,2617,68785865,129,1,347
357,8,1,565,14,1,557466069,2617,86727887,130,1,601
358,9,4,462,3,1,557466069,2617,95739770,131,1,498
359,7,8,322,6,1,557466069,2617,86816107,132,1,430
360,0,4,272,0,1,534892333,1336,18081901,0,0,315
361,0,5,129,0,1,534892333,1336,1049332,1,0,209
362,0,3,233,1,1,534892333,1336,46667982,2,0,242
363,1,4,173,0,1,534892333,1336,123106912,3,0,213
364,0,10,145,0,1,534892333,1336,30399448,4,0,89
365,9,1,463,3,1,534892333,1336,143520107,128,1,352
366,8,0,603,11,1,534892333,1336,105046622,129,1,541
367,11,0,596,7,1,534892333,1336,4294967295,130,1,443
368,3,0,576,3,1,534892333,1336,4294967295,131,1,426
369,6,0,517,2,1,534892333,1336,4294967295,132,1,448
370,0,1,521,5,1,488921647,1213,63621700,0,1,411
371,15,2,558,3,1,488921647,1213,18125557,1,1,593
372,5,1,370,0,1,488921647,1213,4294967295,2,1,303
373,4,0,692,7,1,488921647,1213,36159122,3,1,527
374,9,3,493,9,1,488921647,1213,4294967295,4,1,441
375,3,5,255,3,1,488921647,1213,1049332,128,0,393
376,1,2,292,0,1,488921647,1213,46667982,129,0,308
377,3,5,222,1,1,488921647,1213,100599348,130,0,357
378,0,8,133,0,1,488921647,1213,31631995,131,0,166
379,3,5,300,1,1,488921647,1213,49272460,132,0,327
380,18,4,370,8,1,394550184,2230,33046399,0,1,471
381,14,4,616,8,1,394550184,2230,4294967295,1,1,603
382,17,5,399,11,1,394550184,2230,4294967295,2,1,508
383,21,5,383,11,1,394550184,2230,19889834,3,1,471
384,14,3,496,11,1,394550184,2230,4294967295,4,1,501
385,5,10,276,5,1,394550184,2230,100599348,128,0,321
386,2,13,180,3,1,394550184,2230,72363148,129,0,181
387,7,12,188,2,1,394550184,2230,1049332,130,0,182
388,6,8,364,8,1,394550184,2230,46667982,131,0,572
389,4,6,240,3,1,394550184,2230,90226853,132,0,239
390,15,7,481,5,1,379344195,1817,33409078,0,1,525
391,8,8,502,11,1,379344195,1817,4294967295,1,1,339
392,10,3,559,12,1,379344195,1817,45231843,2,1,752
393,12,3,374,2,1,379344195,1817,2035750,3,1,410
394,14,8,443,2,1,379344195,1817,75268131,4,1,322
395,12,8,318,3,1,379344195,1817,4294967295,128,0,427
396,13,8,373,5,1,379344195,1817,100599348,129,0,513
397,7,2,547,12,1,379344195,1817,46667982,130,0,584
398,10,6,304,5,1,379344195,1817,32944096,131,0,327
399,13,8,238,3,1,379344195,1817,81165440,132,0,342
400,7,4,523,5,1,361502593,2201,46667982,0,0,605
401,9,9,191,2,1,361502593,2201,3115846,1,0,256
402,6,7,329,5,1,361502593,2201,30909695,2,0,361
403,10,9,270,1,1,361502593,2201,51348664,3,0,287
404,7,10,307,4,1,361502593,2201,35143901,4,0,385
405,21,4,395,3,1,361502593,2201,35893707,128,1,410
406,16,4,475,10,1,361502593,2201,21513951,129,1,522
407,21,6,472,8,1,361502593,2201,6999565,130,1,432
408,16,1,484,9,1,361502593,2201,11553876,131,1,561
409,19,6,335,7,1,361502593,2201,78373588,132,1,336
410,10,8,340,3,1,225034538,2509,36970784,0,1,372
411,14,13,345,7,1,225034538,2509,86819181,1,1,445
412,19,7,351,8,1,225034538,2509,47064296,2,1,639
413,13,10,433,7,1,225034538,2509,4294967295,3,1,389
414,11,7,440,7,1,225034538,2509,121642505,4,1,350
415,11,4,173,1,1,225034538,2509,1049332,128,0,299
416,14,10,248,5,1,225034538,2509,20242967,129,0,394
417,16,3,502,10,1,225034538,2509,46667982,130,0,708
418,15,7,259,9,1,225034538,2509,72363148,131,0,484
419,6,10,373,20,1,225034538,2509,127371418,132,0,627
420,12,4,474,5,1,195681781,3688,45170360,0,1,491
421,23,6,340,6,1,195681781,3688,4294967295,1,1,513
422,19,9,221,5,1,195681781,3688,4294967295,2,1,334
423,16,3,579,19,1,195681781,3688,81461442,3,1,531
424,22,8,230,6,1,195681781,3688,22738255,4,1,404
425,9,7,388,3,1,195681781,3688,1049332,128,0,394
426,13,8,226,2,1,195681781,3688,72363148,129,0,344
427,23,13,247,3,1,195681781,3688,100599348,130,0,347
428,9,8,327,5,1,195681781,3688,29323809,131,0,477
429,5,6,544,17,1,195681781,3688,46667982,132,0,527
430,14,0,507,15,1,152975953,2341,38435254,0,1,701
431,4,7,329,6,1,152975953,2341,4294967295,1,1,425
432,5,0,303,2,1,152975953,2341,8634196,2,1,354
433,8,4,265,5,1,152975953,2341,66779135,3,1,280
434,9,4,289,9,1,152975953,2341,4294967295,4,1,363
435,1,7,216,5,1,152975953,2341,4294967295,128,0,315
436,6,7,179,0,1,152975953,2341,30718858,129,0,247
437,6,9,260,1,1,152975953,2341,77067081,130,0,317
438,4,9,131,2,1,152975953,2341,1049332,131,0,203
439,3,6,231,6,1,152975953,2341,46667982,132,0,352
440,18,8,476,13,1,1879163909,2783,46667982,0,1,595
441,20,8,363,12,1,1879163909,2783,35307969,1,1,413
442,23,7,603,17,1,1879163909,2783,1049667,2,1,709
443,29,5,402,10,1,1879163909,2783,47067153,3,1,692
444,24,4,533,16,1,1879163909,2783,6289444,4,1,670
445,11,13,374,4,1,1879163909,2783,81271817,128,0,440
446,16,14,438,6,1,1879163909,2783,86961315,129,0,620
447,6,19,270,2,1,1879163909,2783,52058001,130,0,278
448,4,10,527,15,1,1879163909,2783,31385863,131,0,719
449,13,12,375,4,1,1879163909,2783,4294967295,132,0,463
450,5,5,216,2,1,1509044101,2055,24435572,0,0,172
451,7,8,218,0,1,1509044101,2055,33401947,1,0,235
452,2,3,506,5,1,1509044101,2055,4294967295,2,0,584
453,5,14,364,4,1,1509044101,2055,6628683,3,0,487
454,7,12,209,2,1,1509044101,2055,4294967295,4,0,148
455,5,4,484,9,1,1509044101,2055,46667982,128,1,531
456,8,4,470,10,1,1509044101,2055,100599348,129,1,526
457,18,4,491,10,1,1509044101,2055,86740711,130,1,565
458,4,0,347,1,1,1509044101,2055,1049332,131,1,336
459,5,2,605,11,1,1509044101,2055,90586993,132,1,616
460,23,6,467,11,1,1413243017,2659,32307910,0,1,649
461,13,8,414,8,1,1413243017,2659,46667982,1,1,466
